dsp_pedon_id,soc_stock_30cm,soc_stock_100cm,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,lat,long,ID,mat,map,climate,single_ring_infiltration_1,single_ring_infiltration_2,cornell_infiltrometer,soc_pct,bulk_density,tn_pct,kssl_wsa,yoder_agg_stab_mwd,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace
BAU9-3,41.46541481481482,100.30190270740741,BAU9,19,BAU,BAU,CROP,Till,BAU9,BAU,AG-CROP,CK,WashingtonState,Palouse,46.78188975,-117.0822114,275,8.233333587646484,611,cool_dry,NA,NA,NA,1.6908,0.99,0.13449,15.58,15.03706309,5.63,325.1,39.39446615,79.35439187,0.552317942,7.882867476,14.58935873,58.75764805,27.9,5.1286
CON-1,119.2355094252552,155.00195609674319,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,43.74768,-92.845294,239,6.805333614349365,821,cool_dry,NA,NA,NA,2.8666,1.123872025,NA,28.27,2.12,NA,0.75,184.97,38.17,166.31,200.74,NA,94.28,555.32,4.85
CON-2,107.64705871335809,196.1517218889949,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,2.9268,1.282822983,NA,4.26,2.57,NA,0.88,252.18,41.45,205.49,271.1,NA,132.45,633.25,6.69
CON-3,84.326701506189,127.296715411591,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,2.7626,1.15544377,NA,3.66,1,NA,0.77,201.76,40.23,155.09,254.37,NA,100.26,565.36,5.43
CON-4,120.120798412112,152.902097054204,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,3.1851,0.954238925,NA,10.25,2.12,NA,0.78,212.72,34.75,211.14,303.6,NA,132.67,689.39,6.82
CON-5,118.65666750969629,149.6954715974853,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,3.1334,0.965038055,NA,9.62,1.38,NA,0.66,189.32,29.38,178.84,300.22,NA,129.34,670.68,5.68
CON-6,109.2417970981433,158.13412236462293,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,3.1678,1.175021141,NA,6.52,2.02,NA,0.78,217.06,37.2,243.98,219.06,NA,130.24,704.44,6.04
CON-7,87.25493540766661,175.32726267416712,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,43.75222,-92.84329,245,6.757166862487793,827,cool_dry,NA,NA,NA,2.5308,0.969963974,NA,14.46,1.91,NA,0.84,211.15,43.79,205.41,253.18,NA,133.6,697.95,6.02
CON-8,90.10971263787769,260.81666013753306,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,43.75218,-92.843677,246,6.757166862487793,827,cool_dry,NA,NA,NA,2.6858,0.981205174,NA,13.67,1.17,NA,0.61,203.4,26.15,182.32,243.89,NA,99.2,590.45,4.35
CON-9,134.75952633368098,178.739196371661,CON,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,43.752284,-92.842882,247,6.757166862487793,827,cool_dry,NA,NA,NA,3.1162,1.414054518,NA,13.17,1.83,NA,0.53,210.1,34.41,213.35,269.3,NA,134.48,779.65,5.24
CVT - 1 - 1,7.772500000000001,21.332,CVT - 1,28,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.774177,-101.9472,188,16.16983413696289,462,warm_dry,NA,NA,NA,0.15,1.11,NA,NA,0.62,NA,26,22.46,20.18,1.48,NA,NA,2.26,150.56,0.07472
CVT - 1 - 2,7.009500000000001,25.308,CVT - 1,28,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.774177,-101.9472,189,16.16983413696289,462,warm_dry,NA,NA,NA,0.18,1.13,NA,NA,0.75,NA,11,21.56,18.71,0.98,NA,NA,1.34,251.77,0.11343
CVT - 1 - 3,9.464500000000001,24.3145,CVT - 1,28,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.774177,-101.9472,190,16.16983413696289,462,warm_dry,NA,NA,NA,0.21,1.72,NA,NA,0.63,NA,85,22.08,11.79,0.7,NA,NA,0.29,142.76,0.05249
CVT - 2 - 1,10.011,26.194499999999998,CVT - 2,29,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.774988,-101.947051,203,16.16983413696289,462,warm_dry,NA,NA,NA,0.22,1.43,NA,NA,0.62,NA,107,22,9.98,4.53,NA,NA,1.57,96.53,0.30894
CVT - 2 - 2,8.099,21.9975,CVT - 2,29,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.774988,-101.947051,204,16.16983413696289,462,warm_dry,NA,NA,NA,0.21,0.93,NA,NA,0.71,NA,91,14.35,11.45,1.46,NA,NA,0.46,43.3,0.03763
CVT - 2 - 3,8.914,28.0345,CVT - 2,29,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.774988,-101.947051,205,16.16983413696289,462,warm_dry,NA,NA,NA,0.24,1.08,NA,NA,0.71,NA,142,19.88,12.13,5.65,NA,NA,0.31,73.27,0.18287
CVT - 3 - 1,10.988,22.177999999999997,CVT - 3,30,BAU,BAU,CROP,Till,Conv Till - 3,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.775734,-101.947185,209,16.16983413696289,462,warm_dry,NA,NA,NA,0.19,1.48,NA,NA,0.78,NA,128,62.51,8.13,1.68,NA,NA,0.02,126.88,0.15362
CVT - 3 - 2,11.971499999999999,29.463499999999996,CVT - 3,30,BAU,BAU,CROP,Till,Conv Till - 3,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.775734,-101.947185,210,16.16983413696289,462,warm_dry,NA,NA,NA,0.31,1.12,NA,NA,0.78,NA,113,91.12,7.3,3.9,NA,NA,1.48,157.7,0.02553
CVT - 3 - 3,10.3885,28.084,CVT - 3,30,BAU,BAU,CROP,Till,Conv Till - 3,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,32.775734,-101.947185,211,16.16983413696289,462,warm_dry,NA,NA,NA,0.2,1.52,NA,NA,0.72,NA,113,70.43,3.89,2.17,NA,NA,4.57,181.8,0.07696
CeC1-1,74.34275329357,105.02529803361,CeC1,20,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.73547,-78.6893,167,15.360666275024414,1154,warm_wet,NA,NA,NA,1.87,0.870713957,0.1,40.58577406,4.025253918,NA,5.117934353,512.9715302,123.5815603,673.4751773,221.1751663,475.9074733,248.0141844,716.24458,12.68727021
CeC1-2,54.63483346402,64.9650078622,CeC1,20,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.73571,-78.68135,165,15.360666275024414,1154,warm_wet,NA,NA,NA,1.82,1.536133195,0.16,45.45454545,3.160908105,NA,5.118,569.0213523,165.8687943,286.4893617,282.9342203,275.3202847,97.69503546,717.02168,7.554663409
CeC1-3,62.89246156711,74.00860673521,CeC1,20,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.73594,-78.68177,166,15.360666275024414,1154,warm_wet,NA,NA,NA,1.45,1.537952109,0.12,27.23577236,16.70007796,NA,2.908279603,241.5124555,91.40070922,143.9361702,177.9268293,164.4661922,54.34397163,716.4135148,4.759910045
CeC2-1,69.45844755589,103.48586897509,CeC2,21,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.72791,-78.67495,168,15.360666275024414,1154,warm_wet,NA,NA,NA,1.43,1.182778907,0.14,8.759124088,0.871526301,NA,4.982412727,378.8790036,207.5886525,1538.014184,248.902439,936.1565836,228.1560284,718.1873299,6.002216798
CeC2-2,60.08260500589999,87.21865740794,CeC2,21,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.72765,-78.67525,169,15.360666275024414,1154,warm_wet,NA,NA,NA,1.87,1.67946359,0.17,20.70707071,2.044467147,NA,4.273279512,469.3238434,298.5460993,1524.539007,333.2446415,702.6512456,247.6595745,716.5317691,7.351388373
CeC2-3,75.12760846965,83.71676966799,CeC2,21,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.72739,-78.67555,170,15.360666275024414,1154,warm_wet,NA,NA,NA,1.79,1.404807631,0.17,17.44680851,2.413425006,NA,3.635168326,627.8914591,233.4751773,794.1134752,354.3569845,711.9039146,237.9078014,717.4271234,7.974487241
CeC3-1,122.34704903778001,177.51019232715,CeC3,22,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.72451,-78.67194,171,15.360666275024414,1154,warm_wet,NA,NA,NA,2.24,1.445915079,0.15,18.38565022,2.710572637,NA,3.918169368,444.8576512,245.5319149,440.9751773,162.3355506,439.430605,227.8014184,717.4778038,10.77324249
CeC3-2,132.60002145286,NA,CeC3,22,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.72481,-78.67194,172,15.360666275024414,1154,warm_wet,NA,NA,NA,1.86,1.597733737,0.13,54.03225806,2.383617922,NA,4.021078839,333.5053381,207.2340426,534.5921986,185.2660754,518.7010676,323.1914894,716.987893,10.7205838
CeC3-3,138.5914635771,198.52800737914998,CeC3,22,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,NCState,Cecil,35.72511,-78.67194,173,15.360666275024414,1154,warm_wet,NA,NA,NA,1.92,1.703715772,0.15,34.49612403,2.867078758,NA,4.227260136,358.0604982,134.3085106,366.0638298,169.3569845,343.113879,349.787234,716.5824496,9.811107009
CeF3-1,51.02217661534999,64.32087263314999,CeF3,23,Ref - Forest,Ref,FOREST,Perennial,forest,forest,Reference,Lake Wheeler,NCState,Cecil,35.72612,-78.66969,175,15.360666275024414,1154,warm_wet,NA,NA,NA,8.59,0.311519275,0.37,90.30612245,2.469305394,NA,5.143661721,720.088968,796.6312057,2524.361702,1448.756401,741.797153,1605.886525,720.4967644,9.224442068
CeF3-2,55.235556664099995,76.09243301209999,CeF3,23,Ref - Forest,Ref,FOREST,Perennial,forest,forest,Reference,Lake Wheeler,NCState,Cecil,35.72619,-78.66952,174,15.360666275024414,1154,warm_wet,NA,NA,NA,1.95,1.667216238,0.12,77.77777778,49.01547117,NA,4.360969976,459.3594306,130.2304965,183.6524823,248.2443307,162.1530249,448.8652482,718.0643319,18.51857237
CeH1-1,48.02648163543999,72.65563874845999,CeH1,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.73409,-78.68048,176,15.360666275024414,1154,warm_wet,NA,NA,NA,2.76,1.052908473,0.24,65.38461538,1.897718541,NA,3.1840335,513.9857651,174.4680851,472.8900709,291.9733925,457.2775801,684.1134752,716.6669169,12.79112489
CeH1-2,90.68126748624,107.17048353804,CeH1,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.73443,-78.68042,177,15.360666275024414,1154,warm_wet,NA,NA,NA,5.05,0.898058292,0.41,92.06349206,NA,NA,5.070465548,669.1992883,231.7021277,810.9397163,327.7383592,908.9323843,833.3687943,717.3257626,22.290392
CeH1-3,112.55846861605,126.60816315181,CeH1,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.73477,-78.68036,178,15.360666275024414,1154,warm_wet,NA,NA,NA,4.58,1.380434188,0.41,86.31178707,1.996232253,NA,5.196203528,637.1708185,266.2765957,1177.836879,508.0413895,584.1814947,879.2907801,717.4440169,20.8837288
CeH2-1,49.5608550941,82.87070971475,CeH2,25,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.72877,-78.67504,179,15.360666275024414,1154,warm_wet,NA,NA,NA,1.83,1.25529293,0.17,88.18181818,1.677029306,NA,2.138632721,572.2597865,126.3297872,421.4716312,293.2150776,509.8042705,363.0851064,716.0925387,12.41342759
CeH2-2,67.860337759675,86.357656286635,CeH2,25,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.72871,-78.67478,180,15.360666275024414,1154,warm_wet,NA,NA,NA,2.12,1.386861016,0.21,93.85964912,1.654616232,NA,1.909622914,515.5160142,103.3687943,455.6028369,257.405765,466.7437722,354.751773,716.2614735,12.30611497
CeH2-3,91.40998372642,102.23147216001999,CeH2,25,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.72865,-78.67452,181,15.360666275024414,1154,warm_wet,NA,NA,NA,2.68,1.221097354,0.24,90.8045977,2.513269554,NA,2.658615431,744.6441281,186.1347518,892.7659574,445.0849963,792.6868327,665.3191489,716.7007039,14.67633921
CeH3-1,98.155963709775,NA,CeH3,26,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.73246,-78.67191,182,15.360666275024414,1154,warm_wet,NA,NA,NA,3.08,1.531282759,0.28,87.77292576,2.434578461,NA,3.890992572,860.5071174,221.0638298,564.4326241,462.804878,931.0854093,1078.93617,716.4810887,12.60861971
CeH3-2,44.98351287932,NA,CeH3,26,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.73285,-78.67204,183,15.360666275024414,1154,warm_wet,NA,NA,NA,1.69,1.366367923,0.16,72.90836653,1.965715539,NA,1.501246249,404.1992883,109.929078,254.5744681,240.1256467,368.9679715,288.4397163,717.4476589,9.318012124
CeH3-3,52.61298635957,70.99943846837,CeH3,26,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.73325,-78.67215,184,15.360666275024414,1154,warm_wet,NA,NA,NA,2.19,1.565720857,0.2,85.04273504,1.743418349,NA,2.383948606,575.5782918,178.0141844,401.8085106,318.961229,626.4946619,337.9964539,717.6360868,10.22440867
IL-019-SW-ARBRTM-001,123.5963896338173,194.7592595456873,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,40.0916401,-88.216396,13,11.226499557495117,1011,cool_wet,NA,NA,NA,5.4558,1.133035004,0.4278,NA,1.71,6.7,0.465567981,367.6095,250.247,489.8763,283.4839,507.8075,367.5537,907.502,14.33127268
IL-019-SW-ARBRTM-002,127.633380329148,201.967941161242,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,40.0918033,-88.2161899,14,11.226499557495117,1011,cool_wet,NA,NA,NA,5.707,0.994371983,0.4792,NA,1.56,6.7,0.404223322,534.2575,271.4101,478.2895,310.0537,473.2947,447.0105,1011.984,15.95614058
IL-019-SW-ARBRTM-003,107.685057717326,195.252135519095,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,40.0914285,-88.2159005,15,11.226499557495117,1011,cool_wet,NA,NA,NA,5.8616,1.035571668,0.451,NA,2.14,6.4,0.642359839,699.2173,331.8625,416.802,299.9458,478.122,604.7787,1044.719,20.60876699
IL-019-SW-RTHRML-001,85.09009133592338,144.14519092382235,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,39.9295,-88.0238,16,11.027999877929688,1022,cool_wet,NA,NA,NA,3.2561,NA,0.2782,NA,1.6,6.1,NA,506.4,153.5,310.95,369.6,540.36,375.5,515.685,8.286240308
IL-019-SW-RTHRML-002,82.30804235537593,314.97192212149093,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,39.9295,-88.0238,17,11.027999877929688,1022,cool_wet,NA,NA,NA,2.8098,NA,0.2327,NA,1.2,6.8,NA,347.91,43.9,305.95,329.5153,518.92,368.21,487.671,6.565228234
IL-019-SW-RTHRML-003,135.4601988429834,215.8383719344034,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,NA,NA,NA,NA,NA,cool_wet,NA,NA,NA,3.9814,NA,0.3183,NA,1,6.2,NA,368.12,43.7,337.89,245.23,516.14,274.67,706.882,8.771794417
IL-019-SW-RTHRML-004,81.06999439476117,139.97159603813216,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,NA,NA,NA,NA,NA,cool_wet,NA,NA,NA,2.4014,NA,0.2031,NA,1.3,6.5,NA,299.62,88.7,73.705,130.3,354.86,116.7,427.77,7.738099382
IL-115-SW-ETAL-001,97.59285424262751,207.9891678686815,IL-115-SW-ETAL,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer,39.895068,-88.745608,4,11.113166809082031,1005,cool_wet,NA,NA,NA,2.6549,1.059745323,0.2343,NA,1,NA,0.208607486,156.7469,126.9715,460.3639,62.07595,408.1482,174.1365,384.347,6.579133406
IL-115-SW-ETAL-002,77.95596951843599,158.083200108906,IL-115-SW-ETAL,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer,39.895384,-88.746645,5,11.113166809082031,1005,cool_wet,NA,NA,NA,2.3544,1.008040096,0.2117,NA,0.97,NA,0.259625653,201.448,104.8991,278.2643,189.4521,307.7923,160.0226,401.842,7.348250466
IL-115-SW-ETAL-003,87.0048923158495,155.9304502709785,IL-115-SW-ETAL,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer,NA,NA,NA,NA,NA,cool_wet,NA,NA,NA,2.5469,1.061123714,0.2186,NA,0.84,6.5,0.295450604,237.7787,170.7907,337.2251,183.5136,360.0595,193.8959,464.822,7.550718552
IL-115-SW-WDFLD-001,97.885057721973,171.239713308599,IL-115-SW-WDFLD,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer,39.866062,-88.798131,1,11.21483325958252,1000,cool_wet,NA,NA,NA,2.5792,1.019267248,0.2218,NA,1.37,NA,0.504971048,307.7825,64.82324,205.0506,371.4281,330.0963,148.2961,483.798,6.534739278
IL-115-SW-WDFLD-002,100.39037066019,184.520203114737,IL-115-SW-WDFLD,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer,39.865395,-88.799917,2,11.21483325958252,1000,cool_wet,NA,NA,NA,3.1046,0.926176463,0.278,NA,2.2,NA,NA,366.3598,139.7,251.9196,250.9588,344.6185,125.5788,489.315,7.222132188
IL-115-SW-WDFLD-003,98.081461441465,179.647506001785,IL-115-SW-WDFLD,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer,39.868482,-88.798039,3,11.21483325958252,1000,cool_wet,NA,NA,NA,2.7563,0.934091939,0.2242,NA,1.15,NA,0.183335093,375.441,88.8,140.356,299.6763,324.8089,163.1922,480.582,6.676667816
IL-147-SW-CRP-001,109.08066184654498,196.63260837109098,IL-147-SW-CRP,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer,39.895694,-88.743611,10,11.113166809082031,1005,cool_wet,NA,NA,NA,2.5714,1.447685892,0.1881,NA,1,6.3,0.15182977,225.9089,95.34129,337.7162,399.3494,399.3494,93.98303,507.1716,8.111012468
IL-147-SW-CRP-002,80.62378819226599,172.630924713675,IL-147-SW-CRP,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer,NA,NA,NA,NA,NA,cool_wet,NA,NA,NA,2.4815,1.052235458,0.1933,NA,0.82,NA,0.187662303,147.206,86.14151,220.098,264.8087,264.8087,100.2829,397.526,7.223430599
IL-147-SW-CRP-003,72.7022529126295,125.7629007393295,IL-147-SW-CRP,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer,NA,NA,NA,NA,NA,cool_wet,NA,NA,NA,2.1583,1.255692801,0.1773,NA,0.86,6.4,0.134741,109.1998,66.18124,239.2926,322.1415,322.1415,90.52445,466.941,6.800081695
IL-147-SW-TS-001,92.6546082119085,146.4329057544395,IL-147-SW-TS,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer,39.876683,-88.700021,7,11.108333587646484,1003,cool_wet,NA,NA,NA,3.0601,1.176885435,0.2541,NA,1.2,5.6,0.211154948,178.8334,96.40723,145.175,110.0018,480.1587,119.3575,454.893,7.708597245
IL-147-SW-TS-002,105.0989159391545,176.3584409926965,IL-147-SW-TS,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer,39.878541,-88.700776,8,11.108333587646484,1003,cool_wet,NA,NA,NA,3.0029,1.151373061,0.2406,NA,1.27,5.1,0.135488448,228.9312,86.43829,126.4876,66.89303,405.4478,96.65827,406.82,7.37472678
IL-147-SW-TS-003,110.7667681221695,187.9295877771535,IL-147-SW-TS,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer,39.878261,-88.705988,9,11.108333587646484,1003,cool_wet,NA,NA,NA,3.3031,0.952734709,0.2552,NA,0.88,5.7,0.060075686,234.7869,58.46125,296.6884,219.9005,488.6788,187.6975,516.986,8.99733206
JoF1 - 1,115.29965250000001,152.1738525,JoF1,37,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",Reference,OSU1,OregonState,Jory,44.6361175,-123.2972812,26,10.439666748046875,1702,cool_wet,1025.548872,447.3890685,20.5,4.253,0.59,0.198,81.45848708,0.837731761,5.5,23.8266598,52.03639456,9.737703566,55.38476771,155.5393939,NA,87.97523791,247.69807840000001,15.11890945
JoF1 - 2,158.06981000000002,216.27081,JoF1,37,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",Reference,OSU1,OregonState,Jory,44.6362175,-123.2973802,27,10.439666748046875,1702,cool_wet,5588,1719.384615,37,3.171,0.59,0.169,71.58419592,0.625803388,NA,13.13601858,21.54226804,16.94383838,27.24786325,131.1168593,NA,2.0124444440000002,200.7436591,15.18765016
JoF1 - 3,186.47997,275.20597000000004,JoF1,37,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",Reference,OSU1,OregonState,Jory,44.6358175,-123.2974823,28,10.439666748046875,1702,cool_wet,4191,1625.6,38,4.832,0.59,0.215,76.3125816,0.632453006,NA,22.35170768,33.61538462,25.816615379999998,17.83339275,175.1300971,NA,6.231348622,719.71331,12.65951953
JoF2 - 1,79.2221675,169.5700075,JoF2,38,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,Reference,OSU2,OregonState,Jory,44.918413,-123.355451,29,10.75433349609375,1556,cool_wet,914.4,198.7826087,40,4.559,0.77,0.244,81.07414974,0.949774542,5.8,14.02774721,45.54455446,28.10057006,74.2100471,234.2704158,NA,46.68117914,264.5367609,13.13179368
JoF2 - 2,132.59575,274.49575,JoF2,38,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,Reference,OSU2,OregonState,Jory,44.918544,-123.355551,30,10.75433349609375,1556,cool_wet,3810,1959.428571,39,4.775,0.77,0.308,91.56483375,1.260185504,NA,18.84635536,43.5836701,22.00748674,59.82852234,187.2050693,NA,13.27835052,179.4792918,11.19432399
JoF2 - 3,124.22655000000002,267.87159,JoF2,38,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,Reference,OSU2,OregonState,Jory,44.918514,-123.355451,31,10.75433349609375,1556,cool_wet,4066.007905,2070.363961,40,4.703,0.77,0.294,89.3514028,0.721317543,NA,18.1788688,59.63701209,29.99310755,49.41628081,176.5926616,NA,29.13827383,874.7260745,11.55203029
JoF3 - 1,114.06334890000001,165.63113610000002,JoF3,39,Ref - Forest,Ref,FOREST,Perennial,Forest,"Weyerhauser 2nd growth timber, 24 years old. Minimally managed",Reference,OSU10,OregonState,Jory,44.74261,-123.41895,53,10.579500198364258,1722,cool_wet,3729.151194,636.759829,37.5,5.004,0.66,0.295,85.72314452,0.972184138,5.7,32.27054755,38.99029126,36.48963427,16.99895166,196.4907046,NA,2.945864078,974.7946665,15.13673111
