dsp_pedon_id,label_full,label,lu,till,trt,explanation,state,project,soil,site,lat,long
AZ1-2,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 4 years with a cotton/sorghum rotation.,NA,UTRGV,Hidalgo,UTRGV7,26.440373,-97.81413
AZ1-3,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 4 years with a cotton/sorghum rotation.,NA,UTRGV,Hidalgo,UTRGV7,26.441954,-97.814157
AZ2-1,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 3 years with a cotton/sorghum rotation.,NA,UTRGV,Hidalgo,UTRGV8,26.358343,-97.857232
AZ2-2,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 3 years with a cotton/sorghum rotation.,NA,UTRGV,Hidalgo,UTRGV8,26.358388,-97.846311
AZ2-3,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 3 years with a cotton/sorghum rotation.,NA,UTRGV,Hidalgo,UTRGV8,26.36504,-97.85824
AZ3-1,BAU - Strip Till,BAU,CROP,Till,Strip Till,"Strip tillage for 6 years with a cotton/sorghum rotation, Sunn hemp cover crop 1 year before sampling.",NA,UTRGV,Hidalgo,UTRGV9,26.389298,-97.852623
AZ3-2,BAU - Strip Till,BAU,CROP,Till,Strip Till,"Strip tillage for 6 years with a cotton/sorghum rotation, Sunn hemp cover crop 1 year before sampling.",NA,UTRGV,Hidalgo,UTRGV9,26.387731,-97.852666
AZ3-3,BAU - Strip Till,BAU,CROP,Till,Strip Till,"Strip tillage for 6 years with a cotton/sorghum rotation, Sunn hemp cover crop 1 year before sampling.",NA,UTRGV,Hidalgo,UTRGV9,26.387833,-97.849146
AR2-1,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, hackberry, anacua and others. No major disturbances in over 50 years.",NA,UTRGV,Hidalgo,UTRGV10,26.309166,-98.203663
AR2-2,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, hackberry, anacua and others. No major disturbances in over 50 years.",NA,UTRGV,Hidalgo,UTRGV10,26.30907954,-98.20307
AR2-3,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, hackberry, anacua and others. No major disturbances in over 50 years.",NA,UTRGV,Hidalgo,UTRGV10,26.30896,-98.202272
AR3-1,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, Texas ebony, and others. Undisturbed in landowner's memory (60+ year). Area catches sand deposited by strong winds.",NA,UTRGV,Hidalgo,UTRGV11,26.425936,-97.865571
AR3-2,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, Texas ebony, and others. Undisturbed in landowner's memory (60+ year). Area catches sand deposited by strong winds.",NA,UTRGV,Hidalgo,UTRGV11,26.42575,-97.86555
AR3-3,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, Texas ebony, and others. Undisturbed in landowner's memory (60+ year). Area catches sand deposited by strong winds.",NA,UTRGV,Hidalgo,UTRGV11,26.425912,-97.863987
KeCF3 - 1,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",AG-CROP,KansasState,Keith,NA,39.9519869,-100.89697
KeCF3 - 2,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",AG-CROP,KansasState,Keith,NA,39.9521612,-100.8967806
KeCF3 - 3,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",AG-CROP,KansasState,Keith,NA,39.9521612,-100.8967806
KeC3 - 1,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,KansasState,Keith,NA,39.978288,-100.868944
KeC3 - 2,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,KansasState,Keith,NA,39.978452,-100.868986
KeC3 - 3,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,KansasState,Keith,NA,39.9783659,-100.8687585
KeN3 - 1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,KansasState,Keith,NA,39.9736474,-100.8692162
KeN3 - 2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,KansasState,Keith,NA,39.9739409,-100.8692095
KeN3 - 3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,KansasState,Keith,NA,39.9737363,-100.8690184
KeCF1 - 1,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,KansasState,Keith,NA,39.2447359,-100.5431538
KeCF1 - 2,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,KansasState,Keith,NA,39.2450134,-100.5430643
KeCF1 - 3,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,KansasState,Keith,NA,39.2447102,-100.5427146
KeN1 - 1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,KansasState,Keith,NA,39.249205,-100.56165
KeN1 - 2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,KansasState,Keith,NA,39.249205,-100.56165
KeN1 - 3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,KansasState,Keith,NA,39.249205,-100.56165
KeC1 - 1,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,KansasState,Keith,NA,39.244626,-100.557271
KeC1 - 2,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,KansasState,Keith,NA,39.244626,-100.557271
KeC1 - 3,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,KansasState,Keith,NA,39.244626,-100.557271
KeC2 - 1,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,KansasState,Keith,NA,39.3817794,-101.0631493
KeC2 - 2,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,KansasState,Keith,NA,39.3815262,-101.0632519
KeC2 - 3,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,KansasState,Keith,NA,39.3816973,-101.0629297
KeN2 - 1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,KansasState,Keith,NA,39.3843208,-101.0636022
KeN2 - 2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,KansasState,Keith,NA,39.3840397,-101.0636425
KeN2 - 3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,KansasState,Keith,NA,39.384217,-101.063449
CeC1-2,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.73571,-78.68135
CeC1-3,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.73594,-78.68177
CeC1-1,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.73547,-78.6893
CeC2-1,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.72791,-78.67495
CeC2-2,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.72765,-78.67525
CeC2-3,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.72739,-78.67555
CeC3-1,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.72451,-78.67194
CeC3-2,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.72481,-78.67194
CeC3-3,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,NCState,Cecil,Lake Wheeler,35.72511,-78.67194
CeF3-2,Ref - Forest,Ref,FOREST,Perennial,forest,forest,Reference,NCState,Cecil,Lake Wheeler,35.72619,-78.66952
CeF3-1,Ref - Forest,Ref,FOREST,Perennial,forest,forest,Reference,NCState,Cecil,Lake Wheeler,35.72612,-78.66969
CeH1-1,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.73409,-78.68048
CeH1-2,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.73443,-78.68042
CeH1-3,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.73477,-78.68036
CeH2-1,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.72877,-78.67504
CeH2-2,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.72871,-78.67478
CeH2-3,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.72865,-78.67452
CeH3-1,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.73246,-78.67191
CeH3-2,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.73285,-78.67204
CeH3-3,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,NCState,Cecil,Lake Wheeler,35.73325,-78.67215
NAT-1 - 1,Ref - Native,Ref,GRASS,Perennial,Rangland,NAT,Reference,TexasA&MPt-1,Amarillo,Wellman,32.060626,-102.406408
NAT-2 - 2,Ref - Native,Ref,GRASS,Perennial,Rangland,NAT,Reference,TexasA&MPt-1,Amarillo,Wellman,33.059817,-102.406791
NAT-3 - 3,Ref - Native,Ref,GRASS,Perennial,Rangland,NAT,Reference,TexasA&MPt-1,Amarillo,Wellman,33.060119,-102.406186
CVT - 1 - 1,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774177,-101.9472
CVT - 1 - 2,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774177,-101.9472
CVT - 1 - 3,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774177,-101.9472
NTR - 1 - 1,SHM - no-till,SHM,CROP,Till,No Till - Rye - 1,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775007,-101.947399
NTR - 1 - 2,SHM - no-till,SHM,CROP,Till,No Till - Rye - 1,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775007,-101.947399
NTR - 1 - 3,SHM - no-till,SHM,CROP,Till,No Till - Rye - 1,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775007,-101.947399
NTM - 1 - 1,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 1,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774275,-101.946881
NTM - 1 - 2,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 1,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774275,-101.946881
NTM - 1 - 3,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 1,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774275,-101.946881
NTR - 2 - 1,SHM - no-till,SHM,CROP,Till,No Till - Rye - 2,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775007,-101.947399
NTR - 2 - 2,SHM - no-till,SHM,CROP,Till,No Till - Rye - 2,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775007,-101.947399
NTR - 2 - 3,SHM - no-till,SHM,CROP,Till,No Till - Rye - 2,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775007,-101.947399
NTM - 2 - 1,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 2,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775004,-101.947229
NTM - 2 - 2,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 2,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775004,-101.947229
NTM - 2 - 3,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 2,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775004,-101.947229
CVT - 2 - 1,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774988,-101.947051
CVT - 2 - 2,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774988,-101.947051
CVT - 2 - 3,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.774988,-101.947051
NTM-3 - 1,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 3,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775739,-101.94738
NTM-3 - 2,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 3,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775739,-101.94738
NTM-3 - 3,SHM - no-till,SHM,CROP,Till,No Till - Mixed - 3,MNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775739,-101.94738
CVT - 3 - 1,BAU,BAU,CROP,Till,Conv Till - 3,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775734,-101.947185
CVT - 3 - 2,BAU,BAU,CROP,Till,Conv Till - 3,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775734,-101.947185
CVT - 3 - 3,BAU,BAU,CROP,Till,Conv Till - 3,CT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775734,-101.947185
NTR - 3 - 1,SHM - no-till,SHM,CROP,Till,No Till - Rye - 3,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775683,-101.947009
NTR - 3 - 2,SHM - no-till,SHM,CROP,Till,No Till - Rye - 3,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775683,-101.947009
NTR - 3 - 3,SHM - no-till,SHM,CROP,Till,No Till - Rye - 3,RNT,AG-CROP,TexasA&MPt-1,Amarillo,Lamesa,32.775683,-101.947009
R-1-1,Ref - Native,Ref,FORAGE,Perennial,Native Rangeland,Native,Reference,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-1-1,BAU,BAU,CROP,Till,Mulch tillage fallow after sorghum,Mulch tillage fallow after sorghum,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-1-2,BAU,BAU,CROP,Till,Mulch tillage fallow after sorghum,Mulch tillage fallow after sorghum,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-1-3,BAU,BAU,CROP,Till,Mulch tillage fallow after sorghum,Mulch tillage fallow after sorghum,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT-2-1,SHM - no-till,SHM,CROP,No-till,no-till fallow after wheat,no-till fallow after wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT-2-2,SHM - no-till,SHM,CROP,No-till,no-till fallow after wheat,no-till fallow after wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT-2-3,SHM - no-till,SHM,CROP,No-till,no-till fallow after wheat,no-till fallow after wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-2-1,BAU,BAU,CROP,Till,mulch tillage fallow after wheat,mulch tillage fallow after wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-2-2,BAU,BAU,CROP,Till,mulch tillage fallow after wheat,mulch tillage fallow after wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-2-3,BAU,BAU,CROP,Till,mulch tillage fallow after wheat,mulch tillage fallow after wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT - 3-1,SHM - no-till,SHM,CROP,No-till,no-till wheat,no-till wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
R-1-2,Ref - Native,Ref,FORAGE,Perennial,Native Rangeland,Native,Reference,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT - 3-2,SHM - no-till,SHM,CROP,No-till,no-till wheat,no-till wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT - 3-3,SHM - no-till,SHM,CROP,No-till,no-till wheat,no-till wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-3-1,BAU,BAU,CROP,Till,mulch tillage wheat,mulch tillage wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-3-2,BAU,BAU,CROP,Till,mulch tillage wheat,mulch tillage wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
MT-3-3,BAU,BAU,CROP,Till,mulch tillage wheat,mulch tillage wheat,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
R-1-3,Ref - Native,Ref,FORAGE,Perennial,Native Rangeland,Native,Reference,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
R-2-1,Ref - Native,Ref,FORAGE,Perennial,Native with introduced species,Native with introduced species,ALT,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
R-2-2,Ref - Native,Ref,FORAGE,Perennial,Native with introduced species,Native with introduced species,ALT,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
R-2-3,Ref - Native,Ref,FORAGE,Perennial,Native with introduced species,Native with introduced species,ALT,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT-1-1,SHM - no-till,SHM,CROP,No-till,no-till fallow after sorghum,no-till fallow after sorghum,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT-1-2,SHM - no-till,SHM,CROP,No-till,no-till fallow after sorghum,no-till fallow after sorghum,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
NT-1-3,SHM - no-till,SHM,CROP,No-till,no-till fallow after sorghum,no-till fallow after sorghum,AG-CROP,TexasA&MPt-2,Pullman,NA,35.18025,-102.093806
CON-1,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.74768,-92.845294
CON-2,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.747906,-92.845601
CON-3,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.747593,-92.844985
CON-4,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.750483,-92.84107
CON-5,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.75062,-92.84134
CON-6,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.75034,-92.84078
CON-7,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.75222,-92.84329
CON-8,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.75218,-92.843677
CON-9,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.752284,-92.842882
ALT-1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.74984,-92.85464
ALT-2,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.74981,-92.85499
ALT-3,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.74953,-92.85457
ALT-4,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.74922,-92.85453
ALT-5,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.74899,-92.85467
ALT-6,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.74893,-92.85419
ALT-7,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.74876,-92.85348
ALT-8,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Marquis,Mower,43.74855,-92.85374
ALT-9,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,UnivOfMinnesota,Readlyn,Mower,43.749,-92.85341
REF-1,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.746917,-92.845067
REF-2,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.7469,-92.8454
REF-3,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.746883,-92.84465
REF-4,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.746883,-92.84395
REF-5,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.7469,-92.844333
REF-6,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.74685,-92.8436
REF-7,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.74685,-92.843
REF-8,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.7469,-92.84325
